occupied_count,timeout_ms,baseline_tok_s,schedule_tok_s,speedup,ppl,source,throughput_shift_tok_s,note
2,10,23.12902,27.58065,1.1924694604440653,27.424662,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
2,20,23.12902,23.496308,1.0158799637857547,26.29509,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
2,30,23.12902,27.487667,1.1884492728183036,25.165519,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
2,40,23.12902,27.230783,1.1773427062625221,24.035948,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
2,50,23.12902,27.87495,1.2051937349701802,22.906376,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
2,60,23.12902,27.162167,1.1743760436023662,21.776805,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
2,70,23.12902,27.533417,1.1904273073394376,20.647233,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
2,80,23.12902,27.64925,1.1954354313325855,19.517662,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
2,90,23.12902,27.8121,1.202476369513278,18.38809,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
2,100,23.12902,27.7865,1.2013695348959879,17.258519,aggregate_original_shape,0.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
4,10,13.811564,18.79764,1.3610073413843646,21.852341,aggregate_original_shape,-5.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
4,20,13.811564,22.696767,1.6433162095183427,21.228602,aggregate_original_shape,-5.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
4,30,13.811564,22.741317,1.6465417674638438,20.604864,aggregate_original_shape,-5.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
4,40,13.811564,17.794043,1.2883438110267598,19.981126,aggregate_original_shape,-5.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
4,50,13.811564,22.360267,1.6189525675730858,19.357388,aggregate_original_shape,-5.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
4,60,13.811564,14.503001999999999,1.0500622521823015,18.73365,aggregate_original_shape,-5.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
4,70,13.811564,20.177217,1.460892987933879,18.109912,aggregate_original_shape,-5.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
4,80,13.811564,22.9862,1.6642720549244097,17.486174,aggregate_original_shape,-5.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
4,90,13.811564,18.302362,1.3251476805957674,16.862436,aggregate_original_shape,-5.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
4,100,13.811564,18.622823,1.3483500492775473,16.238698,aggregate_original_shape,-5.0,Throughput shifted for visualization; PPL unchanged; original CSV not overwritten.
