scenario,loads,candidate_policy,candidate_cpus,baseline_tok_s_median,candidate_tok_s_median,speedup_vs_baseline,runs,selected,selected_policy,selected_speedup
2c_asym_low_high,"20,80",major_only_p1,60,8.87628,6.25131,0.7042713839581447,3,0,baseline_all_cores,1.0
2c_balanced_mid,"50,50",major_only_p1,60,12.0399,6.3754,0.5295226704540735,3,0,baseline_all_cores,1.0
2c_high,"80,100",major_only_p1,60,11.3237,6.3171,0.5578653620283123,3,0,baseline_all_cores,1.0
2c_idle_saturated,"0,100",major_only_p1,60,9.17486,6.36438,0.6936759797969668,3,0,baseline_all_cores,1.0
4c_balanced_high,"20,40,60,80",major_only_p1,60,17.0826,4.78386,0.28004285061992906,3,0,baseline_all_cores,1.0
4c_balanced_high,"20,40,60,80",major_only_p2,"60,61",17.0826,9.67642,0.5664489012211257,3,0,baseline_all_cores,1.0
4c_balanced_high,"20,40,60,80",major_only_p3,"60,61,62",17.0826,13.5712,0.7944458103567372,3,0,baseline_all_cores,1.0
4c_front_hot,"90,70,20,0",major_only_p1,63,5.3929,6.27339,1.1632683713771812,3,1,major_only_p1,1.1632683713771812
4c_front_hot,"90,70,20,0",major_only_p2,"63,62",5.3929,11.4826,2.1292069202099055,3,0,major_only_p1,1.1632683713771812
4c_front_hot,"90,70,20,0",major_only_p3,"63,62,61",5.3929,16.3789,3.0371228837916524,3,0,major_only_p1,1.1632683713771812
4c_gradient,"0,20,60,100",major_only_p1,60,16.7953,6.20993,0.3697421302388168,3,0,baseline_all_cores,1.0
4c_gradient,"0,20,60,100",major_only_p2,"60,61",16.7953,11.1774,0.6655076122486648,3,0,baseline_all_cores,1.0
4c_gradient,"0,20,60,100",major_only_p3,"60,61,62",16.7953,15.5423,0.925395795252243,3,0,baseline_all_cores,1.0
4c_high,"70,80,90,100",major_only_p1,60,16.8001,6.15071,0.3661115112410045,3,0,baseline_all_cores,1.0
4c_high,"70,80,90,100",major_only_p2,"60,61",16.8001,11.848,0.7052338974172773,3,0,baseline_all_cores,1.0
4c_high,"70,80,90,100",major_only_p3,"60,61,62",16.8001,11.8678,0.7064124618305844,3,0,baseline_all_cores,1.0
8c_high,"30,40,50,60,70,80,90,100",major_only_p1,60,22.1079,5.9464,0.2689717250394655,3,0,major_only_p7,1.1105261015293175
8c_high,"30,40,50,60,70,80,90,100",major_only_p2,"60,61",22.1079,8.98115,0.40624166022100694,3,0,major_only_p7,1.1105261015293175
8c_high,"30,40,50,60,70,80,90,100",major_only_p3,"60,61,62",22.1079,13.0456,0.5900877062045694,3,0,major_only_p7,1.1105261015293175
8c_high,"30,40,50,60,70,80,90,100",major_only_p4,"60,61,62,63",22.1079,16.2478,0.7349318569380177,3,0,major_only_p7,1.1105261015293175
8c_high,"30,40,50,60,70,80,90,100",major_only_p5,"60,61,62,63,64",22.1079,18.8195,0.8512567905590309,3,0,major_only_p7,1.1105261015293175
8c_high,"30,40,50,60,70,80,90,100",major_only_p6,"60,61,62,63,64,65",22.1079,23.3281,1.0551929400802427,3,0,major_only_p7,1.1105261015293175
8c_high,"30,40,50,60,70,80,90,100",major_only_p7,"60,61,62,63,64,65,66",22.1079,24.5514,1.1105261015293175,3,1,major_only_p7,1.1105261015293175
